"filename", "language", "TypeScript", "JSON", "SCSS", "Markdown", "JSON with Comments", "HTML", "TypeScript React", "CSS", "XML", "comment", "blank", "total"
"c:\Vito\wins11\.d.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Vito\wins11\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Vito\wins11\package-lock.json", "JSON", 0, 29514, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29515
"c:\Vito\wins11\package.json", "JSON", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 1, 55
"c:\Vito\wins11\public\index.html", "HTML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"c:\Vito\wins11\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Vito\wins11\src\App.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Vito\wins11\src\assists\icons\battery-charging.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 12
"c:\Vito\wins11\src\assists\icons\battery-empty.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Vito\wins11\src\assists\icons\battey-full.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Vito\wins11\src\components\appLayout\appHeader.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 6, 48
"c:\Vito\wins11\src\components\appLayout\applayout.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 108, 0, 0, 15, 25, 148
"c:\Vito\wins11\src\components\layout\layout.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 6, 26
"c:\Vito\wins11\src\components\layout\layoutRouter.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 7, 26
"c:\Vito\wins11\src\components\main\index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Vito\wins11\src\components\main\main.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 11, 53
"c:\Vito\wins11\src\components\power\powerMode.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 67, 0, 0, 8, 13, 88
"c:\Vito\wins11\src\components\rightPanel\clock-date-popup.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 131, 0, 0, 6, 23, 160
"c:\Vito\wins11\src\components\rightPanel\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 36, 0, 0, 6, 11, 53
"c:\Vito\wins11\src\components\rightPanel\notifications.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 9, 48
"c:\Vito\wins11\src\components\signIn\signIn.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 104, 0, 0, 1, 19, 124
"c:\Vito\wins11\src\components\startMenu\startMenu.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 79, 0, 0, 6, 19, 104
"c:\Vito\wins11\src\components\startMenu\startMenuApp.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Vito\wins11\src\components\startMenu\startMenuAppRecently.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Vito\wins11\src\components\startMenu\startMenuButton.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 8, 26
"c:\Vito\wins11\src\components\status\batteryStatus.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 9, 40
"c:\Vito\wins11\src\components\status\index.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Vito\wins11\src\components\status\languageStatus.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"c:\Vito\wins11\src\components\status\networkStatus.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 7, 25
"c:\Vito\wins11\src\components\status\powerOptions.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 88, 0, 0, 5, 14, 107
"c:\Vito\wins11\src\components\status\volumeStatus.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"c:\Vito\wins11\src\components\taskbar\calendarSection.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Vito\wins11\src\components\taskbar\date&time.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 11, 45
"c:\Vito\wins11\src\components\taskbar\languageBar.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 4, 14
"c:\Vito\wins11\src\components\taskbar\runningBar.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"c:\Vito\wins11\src\components\taskbar\statusbar.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\Vito\wins11\src\components\taskbar\taskbar.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 89, 0, 0, 1, 15, 105
"c:\Vito\wins11\src\components\taskbar\taskbarApp.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"c:\Vito\wins11\src\components\taskbar\widgetButton.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 4, 14
"c:\Vito\wins11\src\components\windowsApps\VSCode\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Vito\wins11\src\components\windowsApps\edge\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 12, 50
"c:\Vito\wins11\src\components\windowsApps\edge\tabs.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 68, 0, 0, 4, 14, 86
"c:\Vito\wins11\src\components\windowsApps\edge\toolbar.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 20, 139
"c:\Vito\wins11\src\components\windowsApps\fileExplorer\extendCollapseSection.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 11, 74
"c:\Vito\wins11\src\components\windowsApps\fileExplorer\fileExplorer.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 9, 33
"c:\Vito\wins11\src\components\windowsApps\fileExplorer\header.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 3, 61
"c:\Vito\wins11\src\components\windowsApps\fileExplorer\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
